time,One_full_time_and_one_part_time_working_person_three_children,Two_full_time_working_persons_three_children,One_full_time_and_one_part_time_working_person_two_children,Two_full_time_working_persons_two_children,"One_full_time_and_one_part_time_working_person,_one_child",Two_full_time_working_persons_one_child,One_full_time_and_one_part_time_working_person,Two_pensioneers,Two_full_time_working_persons,One_pensioneer,One_full_time_working_person
1/1/2015 0:00,0.15112145,0.185897087,0.106296383,0.07879325,0.120758367,0.125239517,0.122036317,0.120374367,0.122375617,0.062634415,0.157537617
1/1/2015 1:00,0.180235917,0.182941372,0.08188905,0.0776179,0.135777267,0.122325067,0.122004667,0.120084283,0.128111233,0.063229857,0.1266272
1/1/2015 2:00,0.150301367,0.194919683,0.103456733,0.076962333,0.121015567,0.11497615,0.123799115,0.207781333,0.2079118,0.065025018,0.12415015
1/1/2015 3:00,0.148732817,0.187329967,0.102408517,0.078081018,0.120485467,0.115539833,0.125812983,0.140979433,0.146394867,0.078377932,0.125609617
1/1/2015 4:00,0.303694167,0.174888827,0.1016633,0.083422433,0.122514617,0.135681383,0.124486983,0.127616883,0.127899767,0.063921495,0.126372017
1/1/2015 5:00,0.176244,0.20357175,0.104013917,0.085043517,0.125779183,0.1216818,0.125415417,0.313777917,0.130329,0.064219731,0.12968445
1/1/2015 6:00,0.164145,0.196584967,0.099190433,0.086462217,0.131828033,0.12421435,0.1385183,0.571532633,0.1353254,0.067034428,0.1311576
1/1/2015 7:00,1.183358217,0.19929817,0.09504855,0.447989117,0.193543667,0.280528167,0.166221567,0.247477733,0.133990065,0.083070142,0.129661717
1/1/2015 8:00,0.472671483,0.197789305,0.222704833,0.1127754,0.250454483,0.13875845,0.525235967,0.2875252,0.134579517,0.09603221,0.131413483
1/1/2015 9:00,0.3497563,0.190394827,0.2483696,0.084550433,0.302796567,0.248106833,0.821306417,1.1959326,0.14305325,0.064191755,0.134467
1/1/2015 10:00,0.583825767,0.432382217,0.580936867,0.930124933,0.984429783,0.838092833,0.234644067,0.308771267,0.128882367,0.065644988,0.133138167
1/1/2015 11:00,1.428975817,0.740136817,0.10657545,2.002870517,1.2681786,0.7948077,1.023408383,0.987656983,0.1372137,0.080614082,0.134037428
1/1/2015 12:00,2.399694517,1.211630783,0.106619633,0.64385525,0.734301117,0.3263955,0.248399417,0.918279533,0.127329117,0.0640675,0.130732383
1/1/2015 13:00,1.53470835,1.327791417,0.301133008,1.124081033,0.283920983,0.248800667,0.585197258,0.453308233,1.083414133,0.064072037,0.12818295
1/1/2015 14:00,0.26375945,1.341407367,0.93159085,0.320569267,0.44458595,1.155974833,0.133059733,0.77277105,0.454845417,0.064722113,0.1285383
