time,One_full_time_working_person_heat_demand[kW],One_pensioneer_heat_demand[kW],Two_full_time_working_persons_heat_demand[kW],Two_pensioneers_heat_demand[kW],One_full_time_and_one_part_time_working_person_heat_demand[kW],Two_full_time_working_persons_one_child_heat_demand[kW],"One_full_time_and_one_part_time_working_person,_one_child_heat_demand[kW]",Two_full_time_working_persons_two_children_heat_demand[kW],One_full_time_and_one_part_time_working_person_two_children_heat_demand[kW],Two_full_time_working_persons_three_children_heat_demand[kW],One_full_time_and_one_part_time_working_person_three_children_heat_demand[kW]
1/2/2015 9:00,5.774597333,3.6423205,4.980490167,5.852802667,4.720326167,5.981089333,4.757967333,4.390147667,4.764803667,4.795151167,4.984433833
1/2/2015 10:00,5.426958833,3.636369,4.680657667,4.183617667,4.436156333,6.402312667,4.471531167,4.513146667,4.226545333,4.2956235,4.684364333
1/2/2015 11:00,5.2299945,3.370599333,4.510779333,4.0317785,4.2751505,5.494910333,4.309242667,4.063737833,4.219967833,4.139719,4.514350833
1/2/2015 12:00,5.123306167,3.2974575,4.4187615,3.9495325,4.187940167,5.384407,4.221336,5.717329333,3.912980333,4.055271833,4.8653835
1/2/2015 13:00,5.172205333,3.164177667,4.460938167,3.9872295,4.227912833,5.357156833,4.261628333,4.0351265,3.754822333,4.0939775,4.464469833
1/2/2015 14:00,5.301400333,3.190467,4.572366167,4.0868255,4.333521833,5.568871,4.368078,4.066812833,3.786016667,4.196239167,7.2822685
1/2/2015 15:00,5.500851167,3.208415667,4.744389,4.240580833,4.496557333,5.6975535,4.532414667,3.867154333,4.028612167,4.354111667,4.7481455
1/2/2015 16:00,5.686833,3.567224,5.129153833,4.3839535,4.6485845,5.890187667,4.6856545,4.299631667,4.233103667,6.468300667,4.908678833
1/2/2015 17:00,5.900220167,3.771555167,5.088837667,4.548453333,5.047373833,6.111204667,4.861473667,4.545915167,4.4755755,6.637201333,5.092867333
1/2/2015 18:00,5.965800833,4.516782333,5.145400167,4.8233675,7.0679595,6.1791305,4.915509333,5.996782167,4.5297665,4.946496333,5.149474
1/2/2015 19:00,5.921473167,3.839970667,5.107167833,4.564836167,4.840386667,6.133217,6.8459625,4.849671,4.556761833,4.687048167,5.1112115
1/2/2015 20:00,5.601072333,3.834871167,4.830827333,4.317840667,5.979670833,5.801359167,4.839352167,4.622230667,4.5507105,6.4004145,4.834652
1/2/2015 21:00,4.812434833,3.483830333,4.1506415,3.709883333,3.933825,4.984521167,3.9651955,4.199116667,4.134143167,3.809205833,4.1539275
1/2/2015 22:00,3.328915,2.710522,2.871131833,4.757581833,2.721152167,3.4479525,2.967212833,5.227878833,5.177325167,3.036321333,2.873405
1/2/2015 23:00,2.5633515,2.099509667,2.2108465,1.976075833,2.095359333,2.655014,3.204003,2.751866,2.7127105,3.818942667,2.212597167
1/3/2015 0:00,2.439015833,1.88436,2.103609167,1.880226167,1.993723667,2.526232333,2.884662667,2.271249833,2.236106167,1.930565,2.105274167
1/3/2015 1:00,2.491428167,1.949596333,2.1488125,1.920630167,2.036566833,2.580518333,2.052807833,2.349879667,2.313519833,1.97205,2.150514833
1/3/2015 2:00,2.6207865,1.946258833,2.260382167,2.020351167,2.142307833,2.714502667,2.159391167,2.345855833,2.309558667,2.0744415,2.262172
1/3/2015 3:00,2.883530833,2.063071333,2.486993833,2.222900167,2.357082333,2.986641167,2.375877833,2.486652833,2.448176833,2.282412167,2.488964
1/3/2015 4:00,3.753954,2.163610833,3.237718833,2.893905167,3.068591167,3.8900565,3.093061333,2.607835667,2.788777,2.9713815,3.683407667
1/3/2015 5:00,5.509300667,3.034283833,4.751675667,5.252929333,4.503464,5.7823365,4.5393765,3.878563833,3.600681333,4.5851575,4.755438
1/3/2015 6:00,6.816801333,3.9645765,5.879371833,6.312275833,5.796612833,7.138457667,5.616689167,4.778567167,4.704627833,5.395730333,6.327150167
1/3/2015 7:00,6.783642833,3.8509935,5.657267167,6.8066025,5.361751667,6.793834667,5.404508333,4.641663333,4.569842333,5.191897167,5.6617475
1/3/2015 8:00,6.239261667,3.801701333,7.006806667,4.809817333,5.548875,6.462368,5.365186167,4.7124255,4.421638833,5.162948167,5.385514833
1/3/2015 9:00,5.877902,3.7074795,5.069588333,4.531247667,4.916949167,7.3157625,4.843084333,4.468684333,4.6208325,7.803834833,7.847056833
1/3/2015 10:00,5.524044167,3.6244705,4.764391833,4.258460333,4.627697167,5.7215765,4.551525,4.368632333,6.044985833,6.346912167,5.2112885
1/3/2015 11:00,5.323555167,3.430898167,4.5914745,4.103904333,4.351631167,5.513919667,4.386332667,4.135315667,4.071329667,4.213775833,5.038232167
1/3/2015 12:00,5.214958667,4.056006,4.497810667,4.244548167,4.2628605,5.401439167,4.521214667,4.266874,3.982982,4.352178333,6.833573
1/3/2015 13:00,5.264733833,3.220784,4.540741167,4.058558667,4.303547667,5.452993833,5.737192167,3.882062333,5.21782,4.391577167,4.544336833
1/3/2015 14:00,5.3962405,3.247541167,6.621141833,4.159936167,4.411045,5.589201833,4.4480875,3.9143135,3.853746833,6.238285,9.26254
1/3/2015 15:00,5.599258833,3.265812167,4.829262667,4.316442167,4.576997,5.799480667,7.981666333,3.936335667,3.875428333,4.654496333,4.833087333
1/3/2015 16:00,5.788567,3.63104,4.992539,4.462380833,4.731744833,5.995559667,4.993839,4.37655,6.2696735,4.583715333,4.996491833
1/3/2015 17:00,6.230131667,3.839026,5.179874,4.6298215,4.909294333,6.220530833,4.948442167,4.627239,4.555641833,4.978133,5.627101
1/3/2015 18:00,6.072526167,3.885509167,5.237447667,6.080607833,4.963860667,6.289672,5.003445333,6.8654005,4.610800667,4.806611333,7.947876167
1/3/2015 19:00,6.0274035,3.908665,5.198531833,4.648365167,4.926978167,6.3208355,6.367459,4.933570667,4.859573667,4.770896167,5.202647833
1/3/2015 20:00,5.701272,3.903475,4.917248,4.3950845,4.660386833,5.905142,4.697551,6.664663667,4.632119833,4.737110833,4.921141667
1/3/2015 21:00,4.898526333,3.5461545,4.2248935,3.776250667,4.004199167,5.151589,4.036130333,4.274237167,4.208099667,3.877350167,4.228239
1/3/2015 22:00,3.392864333,2.761461,3.150646333,2.615543,2.773427167,4.814161167,2.7955435,3.328433,3.276930833,2.685568,2.928604333
1/3/2015 23:00,2.597918667,2.129438833,2.240659333,2.002724167,2.123615,2.768715,2.1405495,2.565321,2.525627,2.056341333,2.242434167
1/4/2015 0:00,2.360382667,3.118523833,4.002767167,1.819607333,1.929445667,2.444785833,1.944832167,2.199723833,2.165687,1.868323167,2.037401667
1/4/2015 1:00,2.402692167,1.880158167,2.072280333,1.852224167,1.964031833,2.4886095,1.979693833,2.266184833,2.23112,1.901813333,2.073921667
1/4/2015 2:00,2.527443167,1.876941,2.179876167,1.948394,2.0660065,2.617821667,2.082482,2.262306333,2.227300667,2.000556833,2.181602167
1/4/2015 3:00,2.780829,1.989592667,2.398416667,2.1437285,2.273131333,2.880268667,2.291259,2.398087,2.360981667,2.201121,2.400316
1/4/2015 4:00,3.620251333,2.086551833,3.122403667,2.790834833,3.183659833,3.7497065,2.982898167,2.514954167,2.476039833,2.865552167,3.124876
1/4/2015 5:00,5.313078833,2.926213833,4.582438667,4.095828167,4.343066167,5.580966,4.3777005,3.527011833,3.4724375,4.205483,4.586066667
1/4/2015 6:00,6.574010833,3.8233725,5.669970833,5.0678755,5.37379,6.80909,5.416643333,4.608372167,4.5370655,5.787537333,5.6744595
1/4/2015 7:00,6.325665667,3.713835,5.904497333,4.876426667,5.170785,7.7795385,6.962101667,6.220294667,4.6283745,6.285262167,7.792296
1/4/2015 8:00,6.017040667,3.593391833,5.189593667,4.638508667,5.142864667,6.2322025,4.9577285,4.331173167,4.4854485,4.874872833,8.1173575
1/4/2015 9:00,5.668552,3.575432333,4.889028,5.714054333,4.6336415,5.871252,4.670591667,4.530820167,5.638668833,4.709345667,5.187690667
1/4/2015 10:00,5.327297667,3.495380667,4.594702,4.388147167,4.579048333,5.595693,4.3894155,14.586842,4.1478485,4.442964667,7.312090333
1/4/2015 11:00,5.13395,3.308702,4.427942333,3.957737667,4.1966415,6.020927167,4.454467667,4.500716167,4.147617333,4.063697167,4.431448333
1/4/2015 12:00,5.029221667,3.236903,4.337616167,3.877003167,7.835090167,5.988485167,5.893899,3.901490167,3.841122167,5.7308825,4.341050833
1/4/2015 13:00,5.077223,3.106069667,4.379017167,3.914008,7.932161167,5.2587775,4.183367167,3.965091167,3.685868167,4.018795,4.382484
1/4/2015 14:00,5.204045167,3.131876333,4.712759,4.011774167,4.253939667,5.390135167,4.287861833,3.774899833,3.7164905,4.343540833,6.8241535
1/4/2015 15:00,5.399833,3.149495667,4.6572625,4.162706333,4.413982833,5.592923667,7.251564167,8.152712,3.737399333,4.274152333,4.660949333
1/4/2015 16:00,5.582399667,3.501714833,4.814722167,4.303446167,4.5632175,5.782019,4.599606667,4.220673333,4.155367167,4.643020167,4.8185345
1/4/2015 17:00,5.791868,3.702294833,6.745470167,4.464923833,4.734442833,7.298950333,4.772197833,4.462433667,4.393386,4.584461,4.999340833
1/4/2015 18:00,5.856244667,3.747121167,5.050908833,4.514551667,6.537149333,6.065656,4.825240167,4.516464833,4.4465815,4.635418,5.941155
1/4/2015 19:00,5.8127305,3.769452333,5.013378667,4.4810065,4.751496167,6.098484333,4.789387167,4.543381333,4.473080333,4.600974667,5.017348667
1/4/2015 20:00,7.465191167,3.764447333,4.742112833,4.238547167,4.4944015,5.694822167,4.754602167,4.537348167,4.467140167,4.576382833,4.7458685
1/4/2015 21:00,4.7240575,3.419853333,4.074418167,3.641755,4.085944333,4.8929845,3.8923775,4.343298167,4.058223,5.140444833,4.077644
1/4/2015 22:00,3.266108833,2.659852833,2.8169625,2.517828167,2.6698135,3.382900167,2.915463,4.951013667,7.7298295,4.552211833,4.670297333
1/4/2015 23:00,2.519788333,2.063678,2.173274,1.942493167,6.4293585,2.609892667,2.0761745,2.707576833,2.670188667,1.994498833,3.473293833
1/5/2015 0:00,2.432833333,1.879029167,2.098276,1.875459167,1.988669333,2.519828,2.004527667,2.264823667,2.229779667,1.925670833,2.099937333
1/5/2015 1:00,2.4874185,1.946458,2.145355,1.917539,2.033288833,2.576364333,2.049503167,2.346097,2.309796,1.9688765,2.147054333
1/5/2015 2:00,2.616568333,1.9431265,2.256745,2.0171,2.1388595,2.710132667,2.155915167,2.342080667,2.305841833,2.071102333,2.258531167
1/5/2015 3:00,2.878888667,2.0597505,2.482992333,2.219322167,2.353288167,2.981834,2.372054333,2.48265,2.444236,2.278738833,2.484957667
1/5/2015 4:00,3.7479105,2.1601285,3.232507667,2.889247333,3.063652667,3.959830333,3.088083167,2.603637667,2.563352,2.966599667,3.235067333
1/5/2015 5:00,5.7247935,3.029400333,4.7440285,4.240258667,4.496215667,5.697121,4.532069833,3.651383333,3.8161785,4.353780333,4.747784667
1/5/2015 6:00,6.805829,4.033794,5.869908667,5.470943,5.563285,7.049196667,5.607648833,4.9921695,6.092879667,5.611405333,5.8745575
1/5/2015 7:00,6.548725667,3.844795167,5.648161667,5.048382333,5.577481167,6.782900667,5.395809,4.634193,5.005075333,5.407900167,5.9474285
1/5/2015 8:00,6.229219,3.795704,5.372593,4.802075167,5.316305333,7.7575405,5.356912833,6.227853833,4.414521833,4.930638833,6.411423167
1/5/2015 9:00,5.868440667,3.701512667,5.285787167,4.523953667,4.797035833,6.156186667,8.335456667,4.461491833,4.392458,4.645071333,7.781050667
1/5/2015 10:00,5.515153667,3.618636833,4.981084667,4.251605833,4.508248167,5.712368833,4.544198667,4.5828935,4.294113333,4.5897915,4.760490333
1/5/2015 11:00,5.314987333,3.425376167,4.584084667,4.097299333,4.344627333,5.505044167,4.3792725,5.465953167,4.0647765,4.206994167,4.587714167
1/5/2015 12:00,5.206564667,3.351045,4.490571667,5.414907333,4.255999333,5.392745167,4.289939,4.318893667,3.976571667,4.121174167,4.4941275
1/5/2015 13:00,5.256260833,3.2155995,4.533433167,4.052027167,4.296621333,5.444217167,4.330885,3.875812833,4.037135333,4.1605085,4.537022667
1/5/2015 14:00,5.387555,3.242314333,4.646671167,4.153241333,4.403946167,5.580206333,4.439064333,3.908013333,5.8083865,6.231409167,4.650351167
1/5/2015 15:00,5.5902455,3.260555167,4.82149,4.309495167,4.569631333,5.790145167,4.830431167,3.929999333,3.869189833,4.424870333,4.825307833
1/5/2015 16:00,5.779251167,3.625196167,4.984502333,4.4551975,4.724129167,5.985908833,4.761801333,6.330350667,4.301895667,4.5744745,4.988450833
1/5/2015 17:00,5.996105833,3.832847333,5.171536333,4.622369833,4.901392833,6.210518333,4.940478167,4.619792667,5.9441325,4.746121667,5.175631333
1/5/2015 18:00,6.287113167,3.879254667,5.229018833,4.675614333,4.955871333,6.357447667,4.9953915,4.6757285,4.603380667,4.7988755,7.565359833
1/5/2015 19:00,6.017704,3.902374,5.190164833,6.604132167,4.919046667,6.232888833,4.958274167,4.703594167,4.6308145,4.987576333,7.900554667
1/5/2015 20:00,5.692095167,3.897192,4.909333833,4.388009833,4.6528865,5.895637833,4.689990333,4.697346667,10.71639317,4.729849,5.797599833
1/5/2015 21:00,4.890642,3.540446333,7.058243167,3.994533333,3.997754,6.365499333,4.253993833,4.267357,10.50994283,5.838084333,4.223299833
1/5/2015 22:00,3.3827955,2.754453333,3.1419625,2.607781667,2.7651965,3.995203,3.235967167,9.6286055,3.268615667,2.677598167,2.921779333
1/5/2015 23:00,2.605487667,2.134001167,2.247187833,2.008558667,2.354162167,3.434890333,2.146786167,2.572144667,2.532344667,2.062331833,7.6596645
1/6/2015 0:00,2.4838945,1.918961167,2.142315833,1.914822333,2.030408,2.572715333,2.046599833,2.312954833,2.277166167,1.966086833,4.850292167
1/6/2015 1:00,2.537595167,1.985723333,2.1886325,1.956220667,2.074304667,2.628335667,2.090847333,2.393423667,2.356389833,2.008593667,2.190365333
1/6/2015 2:00,2.669350333,1.982324,2.302268833,2.057790167,2.182006,2.764803833,2.199406,2.389326667,2.352355833,2.112882,2.304092167
1/6/2015 3:00,2.936963,2.101301333,2.533080167,2.2640915,2.40076,3.041984833,2.4199045,2.532731667,2.4935425,2.324706667,2.535085333
1/6/2015 4:00,3.8235155,2.2037045,3.297716333,2.947531333,3.1254545,4.038138333,3.150377167,2.656159667,2.836354167,3.026444,3.300327833
1/6/2015 5:00,5.835749167,3.090511,6.812304667,4.325795167,4.5869155,5.889944667,4.847852833,5.690287,3.888696333,6.191689833,4.843559
1/6/2015 6:00,6.943119667,4.1125405,5.988319667,5.352418833,6.010182833,7.191396833,5.7207695,5.530995333,5.234394333,5.720074667,8.701210667
1/6/2015 7:00,6.680830667,3.923454167,5.762099333,5.150221167,5.4611075,6.9976265,5.504656333,4.7276755,4.654523833,5.288105167,8.039154333
1/6/2015 8:00,6.354877333,3.795149333,5.480971167,5.123304667,5.194663667,6.582119,5.236088333,4.574354333,4.503574667,5.030102167,5.485311667
1/6/2015 9:00,5.986822667,3.776181333,5.163529667,4.615213,4.893804,6.200903167,4.932829833,4.551490667,4.4810645,4.963134833,5.1676185
